hour,s_t,p_hat,market,sim
0.0,0.5106,0.7553000000000001,0.015,0.0890325025699927
1.0,0.5106,0.7553000000000001,0.015,0.24654960007871793
2.0,0.5106,0.7553000000000001,0.015,0.41784254398866394
3.0,-0.15626781425716918,0.4218660928714154,,0.4192495713591289
4.0,-0.15626781425716907,0.42186609287141547,0.015,0.4201648453475634
5.0,-0.15626781425716907,0.42186609287141547,0.015,0.4207600684119017
6.0,-0.15626781425716932,0.42186609287141535,0.015,0.42114708709441123
7.0,-0.05797316593473528,0.47101341703263233,0.015,0.4384709765291262
8.0,-0.05797316593473519,0.4710134170326324,0.015,0.4498152551163006
9.0,-0.057973165934735116,0.47101341703263244,0.015,0.4572178846034289
10.0,-0.057973165934735116,0.47101341703263244,0.015,0.4620399540523845
11.0,-0.05797316593473519,0.4710134170326324,0.015,0.46517816934619816
12.0,-0.006561147111550837,0.49671942644422457,0.015,0.4761988942590788
13.0,-0.006561147111550828,0.49671942644422457,0.015,0.4833754929172254
14.0,-0.0065611471115508075,0.4967194264442246,,0.48804414800394497
15.0,-0.0065611471115508075,0.4967194264442246,0.015,0.49107994384974407
16.0,-0.013210630683452037,0.49339468465827396,0.015,0.4918900647099123
17.0,-0.013210630683452044,0.49339468465827396,,0.4924166663758928
18.0,-0.013210630683452056,0.49339468465827396,,0.4927589665557868
19.0,-0.013210630683452048,0.49339468465827396,0.015,0.49298146533337844
20.0,-0.013210630683452022,0.49339468465827396,0.015,0.49312609103523025
21.0,-0.056249912572118116,0.47187504371394096,0.015,0.4856814572213299
22.0,-0.05624991257211815,0.4718750437139409,0.015,0.48084564357000203
23.0,-0.056249912572118164,0.4718750437139409,0.015,0.47770423126987505
24.0,-0.05624991257211817,0.4718750437139409,,0.4756632430660994
25.0,-0.056249912572118116,0.47187504371394096,0.015,0.4743370322629725
26.0,-0.29410953142469093,0.35294523428765456,,0.4307176620076836
27.0,-0.29410953142469093,0.35294523428765456,,0.4028890506436394
28.0,-0.2941095314246912,0.3529452342876544,,0.38511851261262303
29.0,-0.2941095314246912,0.3529452342876544,0.015,0.373726648805874
30.0,-0.2941095314246912,0.3529452342876544,0.015,0.3663954507772603
31.0,-0.14213275707358666,0.4289336214632067,0.015,0.38789151773441793
32.0,-0.14213275707358647,0.4289336214632068,0.015,0.4021077111441081
33.0,-0.14213275707358666,0.4289336214632067,0.015,0.4114389393805222
34.0,-0.14182984099770996,0.42908507950114505,0.015,0.41759165375935825
35.0,-0.14182984099771007,0.42908507950114494,0.015,0.42160484685081345
36.0,-0.14182984099771007,0.42908507950114494,0.015,0.42421902150979107
37.0,-0.14182984099770996,0.42908507950114505,0.015,0.4259205214263122
38.0,-0.14182984099771007,0.42908507950114494,0.015,0.4270274404719196
39.0,-0.6030907636136957,0.19845461819315213,0.015,0.33633125199612596
40.0,-0.6030907636136956,0.1984546181931522,0.015,0.28284566057982974
41.0,-0.6030907636136958,0.19845461819315208,0.015,0.2509885967841831
42.0,-0.6030907636136957,0.19845461819315213,0.015,0.23160532644387152
43.0,-0.5589429134126355,0.22052854329368227,,0.22768475114136297
44.0,-0.5589429134126355,0.22052854329368227,0.015,0.2251615939590774
45.0,-0.5589429134126355,0.22052854329368227,0.015,0.22353221165221338
46.0,-0.5589429134126354,0.22052854329368232,0.015,0.22247762486122669
47.0,-0.5589429134126355,0.22052854329368227,0.01500000000000001,0.22179405054457338
