posts,move,half_life_h
38,0.08,2.3684
40,0.08,2.25
42,0.08,2.1429
44,0.08,2.0455
46,0.08,1.9565
48,0.08,1.875
50,0.08,1.8
52,0.08,1.7308
54,0.08,1.6667
56,0.08,1.6071
58,0.08,1.5517
60,0.08,1.5
0,0.09,3.3333
2,0.09,3.3333
4,0.09,3.3333
6,0.09,3.3333
8,0.09,3.3333
10,0.09,3.3333
12,0.09,3.3333
14,0.09,3.3333
16,0.09,3.3333
18,0.09,3.3333
20,0.09,3.3333
22,0.09,3.3333
24,0.09,3.3333
26,0.09,3.3333
28,0.09,3.2143
30,0.09,3.0
32,0.09,2.8125
34,0.09,2.6471
36,0.09,2.5
38,0.09,2.3684
40,0.09,2.25
42,0.09,2.1429
44,0.09,2.0455
46,0.09,1.9565
48,0.09,1.875
50,0.09,1.8
52,0.09,1.7308
54,0.09,1.6667
56,0.09,1.6071
58,0.09,1.5517
60,0.09,1.5
0,0.1,3.0
2,0.1,3.0
4,0.1,3.0
6,0.1,3.0
8,0.1,3.0
10,0.1,3.0
12,0.1,3.0
14,0.1,3.0
16,0.1,3.0
18,0.1,3.0
20,0.1,3.0
22,0.1,3.0
24,0.1,3.0
26,0.1,3.0
28,0.1,3.0
30,0.1,3.0
32,0.1,2.8125
34,0.1,2.6471
36,0.1,2.5
38,0.1,2.3684
40,0.1,2.25
42,0.1,2.1429
44,0.1,2.0455
46,0.1,1.9565
48,0.1,1.875
50,0.1,1.8
52,0.1,1.7308
54,0.1,1.6667
56,0.1,1.6071
58,0.1,1.5517
60,0.1,1.5
0,0.11,2.7273
2,0.11,2.7273
4,0.11,2.7273
6,0.11,2.7273
8,0.11,2.7273
10,0.11,2.7273
12,0.11,2.7273
14,0.11,2.7273
16,0.11,2.7273
18,0.11,2.7273
20,0.11,2.7273
22,0.11,2.7273
24,0.11,2.7273
26,0.11,2.7273
28,0.11,2.7273
30,0.11,2.7273
32,0.11,2.7273
34,0.11,2.6471
36,0.11,2.5
38,0.11,2.3684
40,0.11,2.25
42,0.11,2.1429
44,0.11,2.0455
46,0.11,1.9565
48,0.11,1.875
50,0.11,1.8
52,0.11,1.7308
54,0.11,1.6667
56,0.11,1.6071
58,0.11,1.5517
60,0.11,1.5
0,0.12,2.5
2,0.12,2.5
4,0.12,2.5
6,0.12,2.5
8,0.12,2.5
10,0.12,2.5
12,0.12,2.5
14,0.12,2.5
16,0.12,2.5
18,0.12,2.5
20,0.12,2.5
22,0.12,2.5
24,0.12,2.5
26,0.12,2.5
28,0.12,2.5
30,0.12,2.5
32,0.12,2.5
34,0.12,2.5
36,0.12,2.5
38,0.12,2.3684
40,0.12,2.25
42,0.12,2.1429
44,0.12,2.0455
46,0.12,1.9565
48,0.12,1.875
50,0.12,1.8
52,0.12,1.7308
54,0.12,1.6667
56,0.12,1.6071
58,0.12,1.5517
60,0.12,1.5
0,0.13,2.3077
2,0.13,2.3077
4,0.13,2.3077
6,0.13,2.3077
8,0.13,2.3077
10,0.13,2.3077
12,0.13,2.3077
14,0.13,2.3077
16,0.13,2.3077
18,0.13,2.3077
20,0.13,2.3077
22,0.13,2.3077
24,0.13,2.3077
26,0.13,2.3077
28,0.13,2.3077
30,0.13,2.3077
32,0.13,2.3077
34,0.13,2.3077
36,0.13,2.3077
38,0.13,2.3077
40,0.13,2.25
42,0.13,2.1429
44,0.13,2.0455
46,0.13,1.9565
48,0.13,1.875
50,0.13,1.8
52,0.13,1.7308
54,0.13,1.6667
56,0.13,1.6071
58,0.13,1.5517
60,0.13,1.5
0,0.14,2.1429
2,0.14,2.1429
4,0.14,2.1429
6,0.14,2.1429
8,0.14,2.1429
10,0.14,2.1429
12,0.14,2.1429
14,0.14,2.1429
16,0.14,2.1429
18,0.14,2.1429
20,0.14,2.1429
22,0.14,2.1429
24,0.14,2.1429
26,0.14,2.1429
28,0.14,2.1429
30,0.14,2.1429
32,0.14,2.1429
34,0.14,2.1429
36,0.14,2.1429
38,0.14,2.1429
40,0.14,2.1429
42,0.14,2.1429
44,0.14,2.0455
